EIN_value,Name,State,City,NTEE_Code,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
202601951,Hirsch Schwartz Foundation,FL,Palm Beach,T21,,HIRSCH-SCHWARTZ FOUNDATION,NONE,NONE,no,
472423100,Thompson Charis Foundation,PA,Sewickley,T20,"APPLICATION SHOULD BE IN WRITING AND STATE THE NAME OF THE ORGANIZATION, WITH SOME BACKGROUND INFORMATION AS TO THE ORGANIZATIONS CHARITABLE PURPOSE AND REASON FOR, AND THE EXPECTED BENEFITS OF THE GIFT REQUEST.",LAUREN THOMPSON,NONE,NONE,no,
133981562,Mica Foundation,NY,New York,A51Z,APPLICATION FOR AWARD,ATTENTION OF BARBARA MORSE,APRIL 30,VISUAL ARTISTS PROJECTS,no,
954670973,Julius Sumner Miller Foundation,CA,Torrance,T20Z,PLEASE CONTACT FOUNDATION FOR INFORMATION REQUIRED WITH APPLICATION FOR GRANT,KAREN LIEBIG,CONTACT FOUNDATION,CONTACT FOUNDATION,no,
261210190,Karen Dove Cabral Foundation,IL,Glenview,T21,NO SPECIFIC FORMS,KATHLEEN M DOVE,NONE,NONE,no,
815299610,Minnco Credit Union Foundation Inc,MN,Cambridge,T99,APPLICATION FORM WILL BE PROVIDED UPON REQUEST,JOHN WENDLAND,NO,NEEDS TO BE WITHIN THE COMMUNITIES SERVED BY MINNCO CREDIT UNION,no,
480963083,Rathert Foundation,KS,Smith Center,,"LETTER, TYPE OF DISASTER, GEOGRAPHICAL AREA, WHAT FUNDS WOULD BE USED FOR.",THE PEOPLES BANK,MAY 1ST,"FOUNDATION MAKES CONTRIBUTIONS ONLY TO SMITH & PHILLIPS COUNTY, KS DISASTER OR MEDICAL HARDSHIP CASES, EDUCATIONAL, AND RELIGIOUS PURPOSES.",no,
396318690,Emmett T & Louise M Ackerman Education Fund,WI,Richland Ctr,,"A LETTER OF REQUEST, COMPLETED APPLICATION AND GRADE TRANSCRIPT",GAIL SURREM,31ST OF JAN AND AUG,"APPLICANTS MUST MEET THE FOLLOWING: A JUNIOR IN COLLEGE, A GRADUATE OF RIVERDALE HIGH SCHOOL AND MUST RETURN TO RICHLAND, GRANT OR IOWA COUNTY, WI TO WORK OR THE GRANT MUST BE REPAID.",no,
742825092,The Watson Foundation,TX,San Antonio,T99Z,,MARK E WATSON JR,,,no,
396044635,Walter Alexander Foundation Inc,WI,Wausau,,REQUESTS SHOULD BE EMAILED. THERE IS NO SET FORMAT. REQUEST MUST DEMONSTRATE A GOOD CAUSE AND NOT MERELY AN ANNUAL REQUEST FOR OPERATING FUNDS.,ROBERT ZIMMERMAN,"NO DEADLINE, BUT MEET QUARTERLY","PREFER NORTHERN WISCONSIN, WAUSAU AREA, OR FOX VALLEY",no,
366891453,John B Templeton Jr Tr,IL,Oak Brook,,"SUBMIT APPLICATION ALONG WITH A NARRATIVE DESCRIBED IN THE APPLICATION, ITEM (E).",TEMPLETON KENLY CO INC,NONE,NONE,no,
237103786,Western Poultry Scholarship And Research Foundation,CA,Sacramento,B82Z,PAPER APPLICATION TO BE SUBMITTED BY MAIL AND ONE-PAGE LETTER ADDRESSING REASONS TO BE SELECTED FOR AWARD.,PEPA SCHOLARSHIP PROGRAM,JANUARY EACH CALENDAR YEAR FOR UPCOMING ENROLLMENT.,"FULL-TIME STUDENTS ENROLLING IN COLLEGES OR UNIVERSITIES OFFERING POULTRY CURRICULUM IN THE ELEVEN WESTERN STATES AND THE WESTERN PROVINCES OF CANADA ARE ELIGIBLE TO APPLY FOR SCHOLARSHIPS. AWARDS ARE BASED ON SEVERAL FACTORS SUCH AS INTEREST AND COMMITMENT TO A POULTRY RELATED CAREER, SCHOLASTIC ACHIEVEMENT, FINANCIAL NEED AND THE OVERALL CONTENT OF THE APPLICATION.",no,
631230114,Boadman Nettles Ivey & Barbara Nettles Ivey Foundation,AL,Montgomery,T20,WRITTEN APPLICATION ADDRESSING NEED AND USE OF FUNDS. DISTRIBUTIONS WILL BE MADE EXCLUSIVELY TO CHARITABLE ENTITIES,KAY E IVEY,OCTOBER 1 OF CALENDAR YEAR,"DISTRIBUTIONS WILL BE MADE EXCLUSIVELY TO RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY, EDUCATIONAL DONEES",no,
203983247,Sarkisian Foundation,AZ,Tucson,T20,WRITTEN,RALPH SARKISIAN,NONE NONE,NONE,no,
471018924,Modern States Education Alliance Inc,NY,New York,B90,THE REIMBURSEMENTS ARE SENT THROUGH THE WEBSITE HTTPS://MODERNSTATES.ORG/ - STUDENTS MUST PROVIDE THEIR SCORE FOR THE EXAM AND THE RECEIPT FOR THE TEST CENTER FEES THAT THEY PAID. THE SCORE IS ONLY USED TO VERIFY THE STUDENT ACTUALLY TOOK THE EXAM.,SADIE GLENN,THERE ARE NO SUBMISSION DEADLINES.,,no,
416225081,Gladys L Johnson Scholarship Trust,NC,Winston Salem,,APPLICATION WILL BE SUPPLIED UPON RECEIPT OF INDICATION OF INTENT,GLADYS JOHNSON SCHOLARSHIP TRUST,MAY 1 FOR FALL ADMISSION CONSIDERATION,PRIORITY PROTESTANT FAITH; RESIDENCE - EAST CENTRAL MN; COLLEGE PUBLIC OR PRIVATE,no,
383450698,Edward M & Henrietta M Knabusch Scholarship Foundation,TX,Vidor,B82,SEE ATTACHED APPLICATION,CHARLES KNABUSCH JR,NONE,UNDERGRADUATE STUDIES - EXHIBIT ATTACHED,no,
237120719,Mack Fire Inc,OH,Cincinnati,,WRITTEN,BILL NEU MACK FIREINC,NONE,MUST BENEFIT THEN GRREN TOWNSHIP COMMUNITY AND IT'S RESIDENTS.,no,
481185296,Wichita Metropolitan Music Teachers Association,KS,Wichita,A23,,JULIE BEES,,,no,
66033969,Ansonia Foundation Inc,CT,New Canaan,,"WRITTEN LETTER, INCLUDE FULL FINANCIAL PURPOSE OF GIFT",ANSONIA FOUNDATION CO JEFFREY C ST,NONE,"GRANT NOT TO EXCEED $5,000 IN A FISCAL YEAR; FAVOR NORTHEAST INSTITUTI",no,
746040400,J B & Margaret Blaugrund Foundation,NM,Albuquerque,,,J ALAN MARKS,,,no,
341370330,Kenneth Calhoun Charitable Tr,OH,Brooklyn,,"LETTER OF REQUEST STATING NAME AND PURPOSE OF ORGANIZATION, DATE, AND AMOUNT OF FUNDS REQUESTED AND PROOF OF EXEMPT STATUS UNDER 501 (C) 3",BRIAN L CHERKALA,JUNE 30 ANNUALLY/CALENDER QUARTERLY MONTH END,"RELIGIOUS, CHARITABLE, SCIENTIFIC",no,
205348055,Cigarran Family Foundation,TN,Nashville,T22,,THOMAS CIGARRAN,,THE FOUNDATION ONLY MAKES CONTRIBUTIONS TO CHARITABLE ORGANIZATIONS THAT QUALIFY UNDER IRC SECTION 501(C)(3).,no,
990339536,First Insurance Company Of Hawaii Charitable Foundation,HI,Honolulu,T21,LETTER STATING THE TYPE OF ACTIVITY,TODD TAKAYAMA,NONE,NONE,no,
760234657,Charles Jago Elder Foundation Inc,TX,Houston,,EACH APPLICATION SHOULD INCLUDE THE AMOUNT AND PURPOSE OF THE GRANT AS WELL AS GENERAL INFORMATION REGARDING THE APPLYING ORGANIZATION.,MRS SARA NEUHAUS HASTINGS,"APPLICATIONS ARE ACCEPTED AT ANY TIME. NOTICE OF APPROVAL, REJECTION OR REQUEST FOR ADDITIONAL INFOR",NO RESTRICTIONS APPLY.,no,
943215024,Steve Silver Foundation Inc,CA,San Francisco,T20Z,"VIDEO TAPE, DVD OR CD-ROM OF A THREE MINUTE PERFORMANCE.",BEACH BLANKET BABYLON SCHOLARSHIP,"FOR 2019 ALL APPLICATIONS HAD TO BE SUBMITTED BY APRIL 26TH, 2019.",ALL APPLICANTS MUST BE LEGAL RESIDENTS OF THE UNITED STATES OR ONE OF ITS OFFICAL TERRITORIES. STUDENTS MUST BE SENIORS ENROLLED AT A BAY AREA ACCREDITED HIGH SCHOOL. SCHOLARSHIPS ARE AWARDED BASED ON TALENT AND ARE CONTINGENT UPON PROOF OF ENROLLMENT IN AN ACCREDITIED POST-SECONDARY INSTITUTION. APPLICATION MUST INCLUDE SIGNATURE VERIFICATION THAT INFORMATION PROVIDED IS ACCURATE AND THAT THE SCHOLARSHIP AWARD WILL BE APPLIED TOWARD THE COST OF EDUCATION AT A FULLY ACCREDITED INSTITUTION.APPLICATION MUST INCLUDE SIGNATURE VERIFICATION THAT INFORMATION PROVIDED IS ACCURATE AND THAT THE SCHOLARSHIP AWARD WILL BE APPLIED TOWARD THE COST OF EDUCATION AT A FULLY ACCREDITED INSTITUTION.,no,
364325958,Simon Family Foundation,IL,Highland Park,,WRITTEN STATEMENT OF CHARITABLE PURPOSE,ALBERT SIMON III,NONE,NONE,no,
461987147,Wordsmiths Inc,AL,Birmingham,T23,AN APPLICATION FORM IS AVAILABLE.,GINNY P ASHE,MAY 30 OF EACH YEAR,"PARTICIPATION IN THE PROGRAM IS LIMITED TO STUDENTS IN THE BIRMINGHAM, ALABAMA CITY SCHOOL SYSTEM OR OTHER LOCAL SCHOOLS WHERE THE PERCENTAGE OF STUDENTS ON FREE OR REDUCED PRICE LUNCHES IS OVER 70 PERCENT AND WHO DESIRE TO IMPROVE THEIR CREATIVE WRITING SKILLS. THE TOTAL NUMBER OF PARTICIPANTS IS LIMITED TO 16 STUDENTS.",no,
656245247,Leonard C & Mildred F Ferguson Foundation,OH,Canton,T20,,Huntington Bank Irene Gray,,"For youth betterment in the areas of Maine, Florida and the Menlo Park and Atherton Areas of California",no,
454697972,Nagula Foundation Inc,VA,Arlington,B82,FOUNDATION APPLICATION,DIWAKER NAGULA,,EDUCATION AND TRAINING IN MEDICINE AND HEALTH SERVICES,no,
200868853,Nicholas F And Eileen M Hearne Foundation,PA,Ft Washington,T22,IRS Tax exemption letter/proof of 501(c)(3) designation;organizational mission statement,Gary W Calvin,,Must primarily benefit children,no,
134023553,Anne Walker Scholarship Fund,NY,New York,B82Z,See attached.,Office of the Recording Vice Presid,March 31,"Grantee must be a member of the Associated Musicians of Greater New York, Local 802, A. F. of M. in good standing, or a child of a member in good standing, who is pursuing a course of study in music as part of a degree-granting program at an accredited institution.",no,
581491453,Solon E & Espie Watts Little Scholarship Loan Fund Inc,NC,Concord,,SEE ATTACHMENT.,STEVE L MEDLIN,SEE ATTACHMENT.,SEE ATTACHMENT.,no,
810896035,Jesse Turner Foundation,CA,Lake Forest,T22,FREDERICK TURNER LETTER SUMMARIZING THE NEED FOR FUNDS AND TAX-EXEMPT STATUS.,FREDERICK TURNER,,,no,
816540443,Rose Montgomery@Johnston Family Foundation,TN,Memphis,T22,"ALL APPLICATIONS SHOULD BE SUMITTED IN WRITING. A DETAILED EXPLANATION SHOULD BE PROVIDED THAT INCLUDES THE AMOUNT, WHAT IT IS TO BE USED FOR, A DESCRIPTION OF THE TAX EXEMPT PURPOSE. DOCUMENTATION SHOULD ALSO BE PROVIDED TO SHOW THAT THE CHARITABLE ORGANIZATION QUALIFIES AS TAX EXEMPT ORGANIZATION SUCH AS A COPY OF THE EXEMPTION LETTER FROM THE INTERNAL REVENUE SERVICE.",ROSE MONTGOMERY JOHNSTON,NONE,NONE,no,
471803527,Andrew And Mary Weinberg Foundation,OR,Portland,T20,,ANDREW WEINBERG,,"THE FOUNDATION WILL BE MAKING GRANTS TO CHARITABLE, CULTURAL AND EDUCATIONAL ORGANIZATIONS THAT ARE TAX EXEMPT UNDER IRC 501(C)(3) AND ARE CLASSIFIED AS PUBLIC CHARITIES.",no,
471803527,Andrew And Mary Weinberg Foundation,OR,Portland,T20,,ANDREW WEINBERG,,"THE FOUNDATION WILL BE MAKING GRANTS TO CHARITABLE, CULTURAL AND EDUCATIONAL ORGANIZATIONS THAT ARE TAX EXEMPT UNDER IRC 501(C)(3) AND ARE CLASSIFIED AS PUBLIC CHARITIES.",no,
471803527,Andrew And Mary Weinberg Foundation,OR,Portland,T20,,ANDREW WEINBERG,,"THE FOUNDATION WILL BE MAKING GRANTS TO CHARITABLE, CULTURAL AND EDUCATIONAL ORGANIZATIONS THAT ARE TAX EXEMPT UNDER IRC 501(C)(3) AND ARE CLASSIFIED AS PUBLIC CHARITIES.",no,
471803527,Andrew And Mary Weinberg Foundation,OR,Portland,T20,,ANDREW WEINBERG,,"THE FOUNDATION WILL BE MAKING GRANTS TO CHARITABLE, CULTURAL AND EDUCATIONAL ORGANIZATIONS THAT ARE TAX EXEMPT UNDER IRC 501(C)(3) AND ARE CLASSIFIED AS PUBLIC CHARITIES.",no,
833754183,Cherrywood Horse Rescue And Barn,WA,Zillah,P99,,CHERRYWOOD HORSE RESCUE AND BARN,,,no,
486391313,Lakeway Foundation Tr,WA,Bellingham,T23,LETTER,LAKEWAY FOUNDATION TRUST,NONE,,no,
112822395,Frank J Antun Foundation,NY,Carle Place,T22Z,"IN WRITING WITH GRANT APPLICATION, COPY OF 990, CURRENT FINANCIALS, DETERMINATION LETER FROM IRS.",PATRICIA COLGAN,NONE,NONE,no,
316056635,George A Avril Family Fund,OH,Cincinnati,,WRITTEN REQUEST.,JOHN G AVRIL,NO DEADLINE,NO RESTRICTION OR LIMITS,no,
953610694,Elizabeth Firth Wade Endowment Fund,CA,Santa Barbara,,LETTER DETAILING PROJECT; FEDERAL ID NUMBER; COPIES OF FEDERAL AND STATE TAX EXEMPTION LETTERS; MOST RECENT FORM 990 OR 990PF.,PATRICIA ALLEN - WADE ENDOWMENT FUN,NONE,NONE,no,
346889055,Bert & Elizabeth Wolinsky Charitable Tr,OH,Canton,,STANARD GRANT REQUEST FORM,JO BETH LEVINE,NONE,NONE,no,
550713040,Jefferson County Tuberculosis Association Inc,WV,Ranson,G128,"VERBAL REQUESTS ARE ACCEPTED FROM HEALTH CARE PROVIDERS SEEKING ASSISTANCE FOR PATIENTS/CLIENTS. WRITTEN REQUESTS ARE ACCEPTED FROM OTHERS SEEKING ASSISTANCE WITH EDUCATION, MEDICINE AND/OR EQUIPMENT. THE REQUEST SHOULD STATE THE INTENT OF THE REQUEST, THE COST, THE SCHOOL, EQUIPMENT OR MEDICINE AND THE NAME OF THE PHYSICIAN WHO PRESCRIBED USE OF THE MEDICINE OR EQUIPMENT. THERE IS NO SPECIFIC FORM NECESSARY TO MAKE THE REQUEST.",KATHYRN WILLIAMS,NONE - MEETINGS OF BOARD OF DIRECTORS ARE HELD WHENEVER REQUESTS FOR ASSISTANCE NEED TO BE CONSIDERE,"AWARDS MUST BENEFIT JEFFERSON COUNTY, WV RESIDENTS AND BE RELATED (DIRECTLY OR INDIRECTLY) TO CARDIO-PULMONARY DISEASES, INCLUDING EDUCATION ABOUT, PREVENTION OF, OR REHABILITATION OF THOSE AFFLICTED.",no,
811963020,Comras Family Foundation Inc,FL,Miami Beach,T90,NO PRESCRIBED FORM.,MICHAEL COMRAS,NONE,NONE,no,
363052879,Believers Broadcasting Corporation,IL,Quincy,,WRITTEN,KENNETH GEISENDORFER,NONE,"EDUCATIONAL, CHARITABLE, OR RELIGIOUS NEEDS OF INDIVIDUALS OR MINISTRIES",no,
596143565,Ray Sutton Mcgehee Foundation,FL,Jacksonville,,WRITTEN OR ORAL,BERRYLIN M HOUSTON,OCTOBER 1,NONE,no,
840278210,Kaiser Foundation Inc,WY,Casper,,WRITTEN APPLICATION FOR SCHOLARSHIP FUNDS,JOSEPH V POMAJZL,ANNUALLY MARCH 15,WYOMING HIGH SCHOOL GRADUATES,no,
133000517,Society Of Kastorians Omonoia Inc,NY,Whitestone,,FINANCIAL NEED GRANTS REQUIRE A WRITTEN APPLICATION AND DISCLOSURE OF PERSONAL AND FINANCIAL INFORMATION.,SOCIETY OF KASTORIANS OMONOIA INC,ANNUALLY BY AUGUST 31.,"TO BE ELIGIBLE FOR A FINANCIAL NEED GRANT, THE APPLICANT MUST BE A DESCENDANT OF KASTORIA, GREECE.",no,
203726778,David Matthews Center For Civic Life,AL,Montevallo,W24,,SANFORD GUNTER,,,no,
742833214,The@Roger And Cynthia Borgelt Family Foundation,TX,Austin,T22Z,NO PRESCRIBED FORM,ROGER BORGELT,THERE ARE NO SUBMISSION DEADLINES.,THERE ARE NO RESTRICTIONS OR LIMITATIONS.,no,
273757181,Stumpf Family Foundation Inc,WI,Appleton,T22,WRITTEN,LEE E STUMPF,DECEMBER 31,WISCONSIN CHARITABLE ORGANZATIONS,no,
383530854,Charles F Yeager Foundation Inc,MI,Troy,T22,APPLICATIONS SHOULD BE WRITTEN WITH A SUMMARY OF QUALIFICATIONS,MARK ZUREK YEAGER FOUNDATION INC,"APPLICATIONS ARE ACCEPTED AT ANY TIME. NOTICE OF APPROVAL, REJECTION OR REQUESTS USUALLY SENT IN 2 M",NONE,no,
271229009,John & Melinda Ortenzio Family Foundation,PA,Mechanicsburg,T22,A LETTER STATING REQUEST FOR FUNDS AND EXPLANATION OF NEED.,JOHN M ORTENZIO,APPLICATIONS ARE ACCEPTED AT ANY TIME,"GRANTS ARE PRIMARILY TO CHARITABLE ORGANIZATIONS THAT CARRY ON COMMUNITY-ORIENTED, EDUCATIONAL OR SPECIAL PURPOSE CHARITABLE ENDEAVORS. THE FOUNDATION EXPECTS TO FUND OTHER CHARITABLE ORGANIZATIONS ENGAGING IN CHARITABLE ACTIVITIES. THE FOUNDATION IS NOT AUTHORIZED UNDER TERMS OF THE TRUST TO MAKE GRANTS TO INDIVIDUALS.",no,
920161386,The Eyak Foundation,AK,Anchorage,B82Z,"THE MATERIALS LISTED BELOW MUST BE SUBMITTED ON OR BEFORE THE DEADLINE: 1. ONLINE APPLICATION SUBMITTED. 2. PROOF OF LINEAL DESCENT OF AN ORIGINAL EYAK CORPORATION SHAREHOLDER (FIRST TIME APPLICANTS). 3. TWO LETTERS OF RECOMMENDATION (FIRST TIME APPLICANTS). 4. AN OFFICIAL COPY OF YOUR HIGH SCHOOL OR GED TRANSCRIPTS OR, IF YOU ARE ALREADY IN A PROGRAM, AN OFFICIAL COPY OF YOUR COLLEGE OR PROGRAM TRANSCRIPTS. IF APPLICABLE, A CERTIFICATE SHOWING COMPLETION OF COURSES IN AN ACCREDITED VOCATIONAL INSTITUTE. (FIRST TIME APPLICANTS) ""RETURNING SCHOLARSHIP QUESTIONS"" (REPEAT APPLICANTS). 5. TYPED PERSONAL HISTORY AND EDUCATION GOAL ESSAY (MUST BE NEW EACH YEAR). 6. PROOF OF ACCEPTANCE FROM COLLEGE/UNIVERSITY/VOCATIONAL OR TRAINING PROGRAM. 7. COURSE DESCRIPTION AND REQUIREMENTS OF INSTITUTION FOR FULL-TIME STUDENTS. 8. RECENT PHOTOGRAPH, WALLET SIZE PREFERRED. PLEASE UPLOAD PHOTO ON APPLICATION PAGE.",ROCKELE JONES,DEADLINE FOR APPLICATION SUBMISSION: 30 DAYS PRIOR TO THE START OF YOUR SEMESTER.,"CONDITION OF AWARD: A SCHOLARSHIP AWARD IS ONLY TO BE USED FOR TUITION, ROOM AND BOARD, FEES, BOOKS, AND COURSE-REQUIRED SUPPLIES. FUNDS WILL BE DISTRIBUTED DIRECTLY TO THE ACADEMIC OR VOCATIONAL INSTITUTION THAT ADMINISTERS THE FUNDS ON BEHALF OF THE STUDENT ON A PER SEMESTER BASIS. ONCE THE SCHOLARSHIP IS GRANTED, IT IS THE RESPONSIBILITY OF THE STUDENT TO ENSURE THAT A COPY OF FINAL GRADES AND HIS/HER OFFICIAL TRANSCRIPT IS SENT TO THE EYAK FOUNDATION IMMEDIATELY UPON COMPLETION OF EACH SEMESTER OR COURSE. SECOND SEMESTER FUNDS FOR THE STUDENT WILL NOT BE RELEASED UNTIL FINAL GRADES ARE RECEIVED.",no,
946293818,Central Valley High School Scholarship Fund,CA,Redding,,"APPROPRIATE JUSTIFICATION FOR NEED: COLLEGE ATTENDANCE, ETC.",KATE BAKER TRUSTEE,BEFORE SCHOOL YEAR ENDS,SHASTA COUNTY - PARTICIPANTS OF CENTRAL VALLEY HIGH SCHOOL,no,
843607222,Michael And Maureen Sachs Foundation,CA,Beverly Hills,T20,WRITTEN REQUEST,ALLAN ALEXANDER,,,no,
264313935,Selden Daniels Memorial Scholarship Fund,WA,Kent,B82,A WRITTEN LETTER DETAILING WHY THE APPLICANT BELIEVES THEY SHOULD BE CHOSEN FOR FINANCIAL ASSISTANCE.,PATRICK ALLEN,NONE,NO DISCRIMINATION,no,
271671715,Sherman S Shaw Foundation,LA,Monroe,T22,,Sherman S Shaw,,,no,
640601824,Herman And Hazel Owen Foundation,MS,Columbus,,LETTER WITH BIOGRAPHICAL AND FINANCIAL INFORMATION,LESLIE PEEL,NONE,"RESIDENTS OF LOWNDES COUNTY MISSISSIPPI AND WITHIN 50 MILES OF COLUMBUS, MISSISSIPPI",no,
834540918,Breast Of Friends Org,IA,Dubuque,T11,NONE,CATHERINE TRIEVIELER,NONE,NONE,no,
946073084,Henry Mayo Newhall Foundation,CA,San Rafael,,"PROPOSALS SHOULD INCLUDE A DESCRIPTION OF THE CHARITY, THE AMOUNT OF THE REQUEST, AND A WRITTEN DESCRIPTION OF THE PROJECT WITH BUDGET. THE CHARITY'S ANNUAL RETURN AND TAX EXEMPT PAPERWORK SHOULD BE INCLUDED WITH THE REQUEST.",THE HENRY MAYO NEWHALL FOUNDATION C,SEE EXHIBIT 1,SEE EXHIBIT 1,no,
386146348,Leon Wells Trust U W Nect Monroe Bank & Trust,MI,Monroe,,SEE ATTACHMENT,FIRST MERCHANTS BANK,SEE ATTACHMENT,SEE ATTACHMENT,no,
43657039,Richard & Scarlett Chang Family Foundation,TX,Allen,T20,NONE,ERIC C KO,NONE,NONE,no,
421461615,Berenstein Family Foundation,IA,Sioux City,T22Z,INFORMATION SHOULD BE PRESENTED IN A ONE PAGE LETTER. INFORMATION SHOULD INCLUDE AN EXPLANATION OF HOW CONTRIBUTIONS WILL BE USED AND PROOF OF TAX EXEMPT STATUS OF ORGANIZATION REQUESTING FUNDS.,GREG L BERENSTEIN,THERE ARE NO SPECIFIC TIMEFRAMES FOR SUBMISSION OF REQUESTS. REQUESTS WILL BE CONSIDERED WHEN RECEIV,NONE UNLESS SPECIFIED AT TIME A CONTRIBUTION IS MADE.,no,
346557729,Joseph Stern & Ruth E Stern Foundation,CA,Calabasas,,No specific format,,No specific deadline,No specific restrictions,no,
223695700,Wietschner Family Foundation Inc,NJ,Teaneck,T22,,C HOWARD WIETSCHNER,,,no,
386869760,Kohli Fam Foundation,OH,Girard,T20,"APPLICATIONS SHOULD BE SUBMITTED IN WRITING WITH NAME, ADDRESS & TAX IDENTIFICATION NUMBER OF CHARITY ALONG WITH DESCRIPTION & AMOUNT OF REQUEST.",CHANDER KOHLI,NO SUBMISSION DEADLINES.,AWARDS ARE GIVEN ONLY TO APPROVED SECTION 501(C)3 CHARITABLE ORGANIZATIONS.,no,
386869760,Kohli Fam Foundation,OH,Girard,T20,"APPLICATIONS SHOULD BE SUBMITTED IN WRITING WITH NAME, ADDRESS & TAX IDENTIFICATION NUMBER OF CHARITY ALONG WITH DESCRIPTION & AMOUNT OF REQUEST.",CHANDER KOHLI,NO SUBMISSION DEADLINES.,AWARDS ARE GIVEN ONLY TO APPROVED SECTION 501(C)3 CHARITABLE ORGANIZATIONS.,no,
386869760,Kohli Fam Foundation,OH,Girard,T20,"APPLICATIONS SHOULD BE SUBMITTED IN WRITING WITH NAME, ADDRESS & TAX IDENTIFICATION NUMBER OF CHARITY ALONG WITH DESCRIPTION & AMOUNT OF REQUEST.",CHANDER KOHLI,NO SUBMISSION DEADLINES.,AWARDS ARE GIVEN ONLY TO APPROVED SECTION 501(C)3 CHARITABLE ORGANIZATIONS.,no,
386869760,Kohli Fam Foundation,OH,Girard,T20,"APPLICATIONS SHOULD BE SUBMITTED IN WRITING WITH NAME, ADDRESS & TAX IDENTIFICATION NUMBER OF CHARITY ALONG WITH DESCRIPTION & AMOUNT OF REQUEST.",CHANDER KOHLI,NO SUBMISSION DEADLINES.,AWARDS ARE GIVEN ONLY TO APPROVED SECTION 501(C)3 CHARITABLE ORGANIZATIONS.,no,
956042761,Phillips Foundation,CA,Palmdale,,Call for Grant Application Forms,The Phillips Foundation,At least 60 days before anticipated receipt of funds,Religious or humane intended grants only,no,
472574781,Highest Peak Foundation,NV,Henderson,T20,"PROSPECTIVE APPLICANTS ARE REQUESTED TO SEND A CONCISE LETTER OF INQUIRY (ONE PAGE IN LENGTH) OUTLINING AIMS AND SPECIFIC NEEDS TO DETERMINE THEIR ELIGIBILITY AND TO ARRANGE FOR NECESSARY FORMS AND ANY ADDITIONAL INFORMATION WHICH MAY BE NEEDED. ONCE THE ORGANIZATION HAS DETERMINED THE APPLICANT HAS POTENTIAL THEY MUST COMPLETE THE APPLICATION FORM, A PROPOSAL (TWO TO FOUR PAGES IN LENGTH) DESCRIBING WHAT THE FUNDS WOULD BE USED FOR, A BUDGET FOR THE PROJECT, LISTING OF CURRENT OFFICERS/DIRECTORS, CURRENT FINANCIALS, AUTHORIZATION FROM THE BOARD APPROVING THE PROJECT AND PROOF THE ORGANIZATION IS CONSIDERED EXEMPT FROM INCOME TAXES FOR FEDERAL AND STATE PURPOSES.",ELIZABETH ANN HARRIS-COLAROSSI,MARCH 31ST FOR THE MAY GRANTS AND SEPTEMBER 30TH OR NOVEMBER GRANTS.,NONE,no,
263671567,Rea Charitable Trust,NV,Las Vegas,T90,FORMAL GRANT APPLICATION MUST BE COMPLETED.IN ADDITION TO THE GRANT AP,REA CHARITABLE TRUST - WELLS FARGO,GRANTS AWARDED IN JUNE & DECEMBER - DEADLINE 4-15 & 10-15,GEOGRAPHICAL AREA GENERALLY,no,
956027266,O L Halsell Foundation,CA,Costa Mesa,,GRANT INFORMATION CAN BE FOUND ON OUR WEBSITE WWW.OLHALSELL.ORG,O L HALSELL FOUNDATION,AUGUST 31 FOR NEW ORGANIZATIONS,GRANTS RESTRICTIONS CAN BE FOUND ON OUR WEBSITE,no,
207432649,Outcalt Foundation,CO,Alamosa,T20,OUTCALT FOUNDATION SAN LUIS VALLEY STUDENT ACHIEVEMENT SCHOLARSHIP OUTCALT FOUNDATION SAN LUIS VALLEY WORKFORCE DEVELOPMENT SCHOLARSHIP,CAROLYN M KAWANABE,MARCH 15TH,"COLORADO HIGH SCHOOL SENIORS GRADUATING FROM A SAN LUIS VALLEY INSTITUTION OF SECONDARY EDUCATION AND POST HIGH SCHOOL STUDENTS WHO HAVE GRADUATED FROM A SAN LUIS VALLEY INSTITUTION OF SECONDARY EDUCATION. THE FUNDS AWARDED ARE TO BE USED FOR TUITION, MANDATORY FEES, COURSE-RELATED EXPENSES AND REASONABLE LIVING EXPENSES INCURRED TO ATTEND AN ACCREDITED COLLEGE, UNIVERSITY, JUNIOR COLLEGE, CAREER AND/OR TECHNICAL EDUCATION PROGRAM WITHIN THE UNITED STATES.",no,
621585196,Dudley And Walter Morgan Foundation,TN,Nashville,T22Z,NO REQUIREMENTS,DUDLEY WHITE,NONE,NONE,no,
731506289,Michael Foundation Inc,OK,Oklahoma City,T70Z,WRITTEN FORM INDICATING ADDRESS AND PURPOSE.,THE MICHAEL FOUNDATION,THERE ARE NO SUBMISSION DEADLINES.,THERE ARE NO RESTRICTIONS OR LIMITATIONS ON AWARDS.,no,
526526874,John Thomas Beane Charitable Foundation,TX,Dallas,,LETTER STATING REASON AND PURPOSE FOR THE FUNDS REQUESTED,BANK OF AMERICA CO MARC MAURO,NONE,ORGANIZATIONS QUALIFIED UNDER IRC SECTION 501 (C) 3 FOR INDIGENT CARE AND FEEDING.,no,
223808910,Giovannone Family Foundation,PA,Conshohocken,T22,WRITING,GIOVANNONE FAMILY FOUNDATION,NONE,NONE,no,
