EIN_value,Name,Gross_Revenue,Net_Revenue,Tax_Period_Year,PDF_URL,City,State,NTEE_Code,Form_Type
20223176,New Hampshire Medical Society,1307703,63523,2021,,Concord,NH,,0
20223206,Lakes Region Association,514601,24947,2021,,Tilton,NH,,0
20223317,Brewster Academy,32925691,5053407,2022,,Wolfeboro,NH,B250,0
20223321,Cottage Hospital,41926770,3343243,2021,,Woodsville,NH,E220,0
20223322,Currier Museum Of Art,12269054,5584196,2021,,Manchester,NH,A510,0
20223323,Dover Childrens Home,1596766,113124,2021,,Dover,NH,,0
20223332,Huggins Hospital,92166408,12301224,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020223332_202109_990_2022082220290354.pdf,Wolfeboro,NH,E220,0
20223334,Webster House,2419860,723667,2021,,Manchester,NH,P730,0
20223336,North Conway Community Center,702314,198500,2021,,North Conway,NH,P28Z,0
20223338,Pinkerton Academy,57395711,5827153,2022,,Derry,NH,B250,0
20223339,Rivier University,55240683,5366291,2021,,Nashua,NH,B430,0
20223390,Manchester Historic Association,543390,-119915,2021,,Manchester,NH,,0
20223391,Ellen Lambert Murphy Memorial Community Center,114571,-1637,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020223391_202106_990_2022071120206090.pdf,Winchester,NH,N31Z,0
20223438,Saint Gaudens Memorial,420449,-10754,2021,,Ossining,NY,,0
20223580,Cardigan Mountain School,19494747,-237919,2021,,Canaan,NH,B240,0
20223606,New Hampshire Association For The Blind,3346181,679668,2021,,Concord,NH,,0
20223634,New Hampton School,28171806,3204947,2022,,New Hampton,NH,B250,0
20223634,New Hampton School,28171806,3204947,2022,,New Hampton,NH,B250,0
20223955,New England College,84142963,5858741,2022,,Henniker,NH,B420,0
20224075,Richards Free Library,772261,207961,2021,,Newport,NH,B71Z,0
20224597,Sandwich Home Industries,65354,51756,2021,,Ctr Sandwich,NH,,0
20225721,American Legion,257439,24336,2021,,Milford,NH,,0
20225721,American Legion,257439,24336,2021,,Milford,NH,,0
20225958,Benevolent & Protective Order Of Elks Of The Usa,184586,4126,2022,,Littleton,NH,,0
20226033,Manchester Boys And Girls Club,4728166,1470915,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_04_2022_prefixes_01-14%2F020226033_202106_990_2022040119812231.pdf,Manchester,NH,O23Z,0
20226432,Nea New Hampshire,7339491,697495,2021,,Concord,NH,,0
20226712,Lake Sunapee Yacht Club,857317,102853,2021,,Sunapee,NH,N67Z,0
20226774,Speare Memorial Hospital,78325414,11077715,2021,,Plymouth,NH,E220,0
20226828,Members First Credit Union Of Nh,9030038,662686,2021,,Manchester,NH,,0
20227484,Granite State Credit Union,31794091,5681116,2021,,Manchester,NH,,0
20227519,Bektash Shriners,468987,122856,2020,,Concord,NH,,0
20227848,Camp Pasquaney,3574435,1666379,2022,,Hebron,NH,N20Z,0
20228123,North Conway Cemetery Association,212721,185716,2022,,North Conway,NH,,0
20228242,Lakes Region Visiting Nurse Association,6280571,-284423,2021,,Meredith,NH,,0
20228247,Visiting Nurse Association Of Franklin,2890385,72010,2021,,Franklin,NH,,0
20229110,William Marconi Italian Club,232171,23405,2021,,Keene,NH,,0
20229869,Dublin School Inc,12207787,557443,2021,,Dublin,NH,B25Z,0
20229923,American Legion,514765,-19173,2021,,Rochester,NH,,0
20231026,Cornerstone Vna,21619391,4775238,2021,,Rochester,NH,E60,0
20231590,American Legion,342290,22593,2021,,Rollinsford,NH,,0
20232166,Hollis Preschool,323586,49985,2022,,Hollis,NH,B21Z,0
20232166,Hollis Preschool,323586,49985,2022,,Hollis,NH,B21Z,0
20232424,American Football Coaches Association,3376741,915796,2021,,Waco,TX,,0
20232673,Elliot Hospital Of The City Of Manchester,594778887,108006774,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020232673_202106_990_2022071120204797.pdf,Manchester,NH,E220,0
20232922,Henniker Cemetery Association,57888,-25112,2022,,Henniker,NH,,0
20233123,Littleton Community Center,72014,16348,2021,,Littleton,NH,P28Z,0
20233250,New Hampshire Historical Society,2104190,41225,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020233250_202109_990_2022083020310539.pdf,Concord,NH,A540,0
20234046,New Hampshire Interscholastic Athletic Association Inc,1683535,275631,2022,,Concord,NH,,0
20234385,League Of New Hampshire Craftsmen Inc,857430,80995,2021,,Concord,NH,A24C,0
20235170,Gafney Library,856707,653634,2021,,Sanbornville,NH,,0
20235171,Mission At The Eastward,326560,174545,2021,,Farmington,ME,,0
20235235,Tamworth Community Nurse Association,297797,62070,2021,,Tamworth,NH,E90Z,0
20235648,New Hampshire Bankers Association,1082708,-15038,2021,,Concord,NH,,0
20235942,Meredith Chamber Of Commerce,113665,685,2022,,Meredith,NH,S41,0
20236885,Monadnock United Way Inc,2296861,833048,2021,,Keene,NH,,0
20237992,American Legion,741357,213059,2021,,Lebanon,NH,,0
20238344,Swimmers Inc,180914,3885,2021,,Manchester,NH,,0
20238690,Craftstudies Inc,993102,773254,2022,,White Riv Jct,VT,A400,0
20239009,Sandwich Fair Assn Inc,632013,173472,2021,,Ctr Sandwich,NH,,0
20239199,Bones Gate Fraternity,86327,189,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020239199_202109_990O_2022071820228370.pdf,Hanover,NH,,0
20239519,World Affairs Council Of New Hampshire,428945,130255,2021,,Manchester,NH,Q050,0
20239801,Pope Memorial Spca Of Concord Merrimack County,1435100,320634,2022,,Concord,NH,,0
20240282,New Hampshire Farm Bureau Federation,324502,-19427,2021,,Concord,NH,,0
20240383,Portsmouth Historical Society,3186969,2397612,2021,,Portsmouth,NH,,0
20240644,Tilton Northfield Recreation Council,304906,-47001,2021,,Tilton,NH,N30Z,0
20241080,Friends Of Young Judaea Inc,2694383,272600,2021,,Babson Park,MA,N20Z,0
20241407,Warner House Association,253013,166060,2021,,Portsmouth,NH,A82Z,0
20241746,Coe Brown Northwood Academy,13826653,670019,2022,,Northwood,NH,B25Z,0
20241839,American Federation Of Labor & Congress Of Industrial Orgs,665020,74880,2021,,Hooksett,NH,,0
20242389,Great Bay Services,2617890,280389,2022,,Dover,NH,J300,0
20243058,Pope Memorial Library,642443,285695,2021,,North Conway,NH,,0
20243058,Pope Memorial Library,642443,285695,2021,,North Conway,NH,,0
20243160,Girl Scouts Of The Green And White Mountains,5976718,1196781,2021,,Bedford,NH,O42Z,0
20243354,New Hampshire Automobile Dealers Association Inc,1458137,413386,2021,,Bow,NH,,0
20243506,The Exeter Area Chamber Of Commerce,297358,47268,2022,,Exeter,NH,,0
20244014,American Legion,395979,84150,2021,,Epping,NH,,0
20244216,Spaulding Academy & Family Services,27006002,5300625,2022,,Northfield,NH,F33Z,0
20244216,Spaulding Academy & Family Services,27006002,5300625,2022,,Northfield,NH,F33Z,0
20245312,Proprietors Portsmouth Athenaeum,690298,247705,2021,,Portsmouth,NH,B76Z,0
20245359,Ford K Sayre Memorial Ski Council,495518,-6,2021,,Hanover,NH,,0
20245614,New Hampshire Music Festival Inc,505242,77349,2021,,Plymouth,NH,A680,0
20245830,Bristol Recreation Advisory Council,809649,90325,2021,,Bristol,NH,N30Z,0
20256498,Squam Lakes Association,1722976,519235,2021,,Holderness,NH,C32,0
20256731,Lincoln Woodstock Chamber Of Commerce,280947,70523,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020256731_202109_990O_2022082920301513.pdf,Lincoln,NH,,0
20256825,Benevolent & Protective Order Of Elks Of The Usa,307927,68836,2022,,Lebanon,NH,Y40Z,0
20256864,Keene Senior Citizens Inc,343086,194560,2021,,Keene,NH,P81Z,0
20257350,American Legion,228698,-47091,2019,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020257350_201912_990O_2022080920274646.pdf,Hillsboro,NH,,0
20257793,Copoco Inc Little Pond Rd,142162,4842,2021,,Concord,NH,,0
20258168,Camp Bernadette Inc,1764339,117946,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020258168_202110_990_2022030919708947.pdf,Gilmanton Iw,NH,,0
20258994,The Mental Health Center Of Greater Manchester Inc,43544468,2362597,2021,,Manchester,NH,,0
20259600,New Hampshire World Fellowship Center Inc,448493,-71227,2021,,Conway,NH,,0
20259874,Boys & Girls Club Of Central New Hampshire Inc,8851535,882193,2021,,Concord,NH,O23,0
20259978,National Federation Of The Blind Inc,21045026,1904961,2021,,Baltimore,MD,G41Z,0
20260158,Strawbery Banke Museum,5894199,3183841,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020260158_202103_990_2022030219679850.pdf,Portsmouth,NH,A540,0
20261136,Moore Center Services Inc,69428243,1020661,2021,,Manchester,NH,P730,0
20261393,Onaway Camp Trust,2188120,984270,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020261393_202109_990_2022083020310683.pdf,Glenside,PA,N20Z,0
20261669,Veterans Of Foreign Wars Department Of New Hampshire,72402,17484,2021,,Nashua,NH,,0
20261811,Vergilian Society Inc,305986,181501,2021,,Piedmont,CA,A76Z,0
20261932,Holt Elwell Memorial Foundation,2777734,1572977,2021,,Hebron,NH,N20Z,0
20262209,Manchester Police Relief Association,103268,20863,2021,,Manchester,NH,,0
20262504,Morrison Hospital Association,12456887,804515,2021,,Whitefield,NH,E91Z,0
20262682,Trustee Of Brantwood Camp,1376254,533203,2021,,Peterborough,NH,,0
20262862,Seacoast Mental Health Center Inc,24422055,3401417,2022,,Portsmouth,NH,F30Z,0
20262885,Peterborough Players Inc,1738482,739015,2021,,Peterborough,NH,A650,0
20262935,Veterans Of Foreign Wars Merrimack Post 8641,213429,109036,2021,,Merrimack,NH,,0
20263003,Ancient Accepted Scottish Rite Of Free Masonry Nmj,3174,-6745,2022,,Nashua,NH,,0
20263004,Ancient Accepted Scottish Rite Of Free Masonry Nmj,1921,-6896,2022,,Nashua,NH,,0
20263005,Ancient Accepted Scottish Rite Of Free Masonry Nmj,13096,-7497,2022,,Nashua,NH,,0
20263057,Bedford Bluffs Inc,284998,65202,2021,,Bedford,NH,,0
20263136,Franklin Pierce University,91825890,5318423,2021,,Rindge,NH,B420,0
20263643,International Association Of Workforce Professionals,117805,-8973,2021,,Austin,TX,,0
20263868,Seacoast Board Of Realtors Inc,507801,175793,2021,,Portsmouth,NH,S41,0
20264010,Marion J Carter Trust,51318,13663,2021,,Poinciana,FL,,0
20264688,St Johns Masonic Assoc Inc,162328,83606,2021,,Portsmouth,NH,,0
20265542,Derryfield School,20079607,3135222,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_04_2022_prefixes_01-14%2F020265542_202106_990_2022040719832552.pdf,Manchester,NH,,0
20265933,Lone Pine Hunters Club Inc,101095,-56088,2021,,Nashua,NH,N50,0
20266275,Wilmot Community Association,75362,-5064,2021,,Wilmot,NH,N31,0
20266358,Barnstormers Inc,655934,215146,2021,,Tamworth,NH,A610,0
20267159,Beaver Brook Association Inc,2273813,1480572,2022,,Hollis,NH,C60Z,0
20267909,Nashua N H Rotary Charity Fund Inc,472881,373483,2021,,Nashua,NH,S8OI,0
20268285,Southern New Hampshire Service Inc,58155704,584544,2021,,Manchester,NH,P200,0
20268636,Community Action Partnership Of Strafford County,24026837,1023885,2021,,Dover,NH,P20Z,0
20268688,Greater Derry Chamber Of Commerce,112559,-36539,2021,,Derry,NH,,0
20269550,Vaughan Community Service Inc,987546,409061,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_04_2022_prefixes_01-14%2F020269550_202109_990_2022041119848435.pdf,North Conway,NH,P33Z,0
20269741,Energy Marketers Association Of New Hampshire,115138,-482,2021,,Concord,NH,,0
20269753,New Hampshire Retail Association,340520,42933,2021,,Concord,NH,,0
20270147,Rise For Baby And Family,1522380,-18652,2021,,Keene,NH,P37Z,0
20270147,Rise For Baby And Family,1522380,-18652,2021,,Keene,NH,P37Z,0
20270374,Exeter Fine Crafts Inc,215890,13748,2022,,Exeter,NH,A20,0
20270376,Community Action Program Belknap & Merrimack Counties Inc,43283224,2010368,2022,,Concord,NH,P200,0
20270376,Community Action Program Belknap & Merrimack Counties Inc,43283224,2010368,2022,,Concord,NH,P200,0
20270451,New Hampshire School Board Association,944726,98858,2022,,Concord,NH,,0
20270573,Eastern Amateur Ski Education Foundation,62685,1707,2022,,Intervale,NH,,0
20270573,Eastern Amateur Ski Education Foundation,62685,1707,2022,,Intervale,NH,,0
20270839,Alpha Delta Alumni Corporation,88061,-17876,2021,,Exeter,NH,,0
20271139,New Hampshire College & University Council,2159910,-9143,2021,,Concord,NH,,0
20271288,Fellowship Housing Opportunities Inc,1141019,241835,2022,,Concord,NH,,0
20271824,Squam Lakes Natural Science Center,3261497,469520,2021,,Holderness,NH,C600,0
20272024,Holy Rosary Regional Credit Union,15434385,2006417,2021,,Rochester,NH,,0
20272095,New England Morgan Horse Association Inc,741573,64278,2021,,Ayer,MA,B60,0
20272138,The Lakes Region Mental Health Center Inc,16794140,1055266,2022,,Laconia,NH,F31Z,0
20272292,Camp Fireside Inc,199928,29983,2021,,Barrington,NH,,0
20272439,Great Bay Kids Company,6382180,1054282,2021,,Portsmouth,NH,P33Z,0
20272825,Easter Seals New Hampshire Inc,76411817,5693397,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020272825_202108_990_2022080220264583.pdf,Manchester,NH,P11,0
20273013,Delta Dental Plan Of New Hampshire,400630362,7010135,2021,,Concord,NH,,0
20273106,Hampshire Nursery School,0,0,2022,,Hanover,NH,B21Z,1
20273178,Pemi Baker Hospice & Home Health,5248527,843476,2021,,Plymouth,NH,E92,0
20273466,Community Day Care Center Inc,3805554,738091,2022,,Portsmouth,NH,P33Z,0
20274509,Southern New Hampshire University,1091579648,142273993,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020274509_202106_990_2022071120201543.pdf,Manchester,NH,B500,0
20274905,Rockingham Visiting Nurse Association And Hospice,17268809,-2168089,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020274905_202109_990_2022082920302087.pdf,Exeter,NH,E92Z,0
20275078,Foundation For Healthy Communities,12126255,-167969,2021,,Concord,NH,E19,0
20275780,New Hamphshire Bar Association,3331971,281389,2021,,Concord,NH,,0
20275887,Hanover Hockey Association Inc,204233,54789,2021,,Hanover,NH,N68Z,0
20276210,Upper Connecticut Valley Hospital Association,27325994,5160209,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020276210_202109_990_2022082220291051.pdf,Colebrook,NH,E22Z,0
20276222,American Legion,163804,26767,2021,,Jaffrey,NH,,0
20276602,Seacoast Indoor Tennis Club Inc,314506,54462,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020276602_202109_990O_2022080220262320.pdf,North Hampton,NH,,0
20277083,Chocorua Lake Conservancy,254498,93238,2021,,Chocorua,NH,C20,0
20277615,Benevolent & Protective Order Of Elks Of The Usa,429951,143327,2022,,Salem,NH,,0
20278085,New Hampshire Veterinary Medical Association,204664,73234,2021,,Amherst,NH,,0
20278125,Algonquin Indoor Tennis Center Inc,116289,22979,2022,,Hooksett,NH,,0
20278142,New England Cable Tv Association,2924589,156824,2021,,Boston,MA,,0
20279045,Monadnock Community Early Learning Center,778073,79788,2021,,Peterborough,NH,P33Z,0
20279104,Veterans Of Foreign Wars Department Of New Hampshire,102544,21514,2021,,Hinsdale,NH,,0
20279965,New Hampshire Snowmobile Assoc Inc,474455,61539,2022,,Tilton,NH,,0
20279965,New Hampshire Snowmobile Assoc Inc,474455,61539,2022,,Tilton,NH,,0
20280098,International Brotherhood Of Electrical Workers,959287,97349,2021,,Manchester,NH,,0
20280183,United Church Of Christ Retirement Community Inc,30641465,2336187,2021,,Concord,NH,P750,0
20280367,Androscoggin Valley Hospital Inc,76927619,10072367,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020280367_202109_990_2022082220290947.pdf,Berlin,NH,E220,0
20296284,Notre Dame Cristo Rey High School Inc,8407963,3311253,2022,,Methuen,MA,B25,0
20300637,North Country Home Health & Hospice Agency Inc,9102928,241199,2021,,Littleton,NH,F30,0
20300897,New Hampshire Legal Assistance,5337369,271810,2021,,Concord,NH,,0
20300994,Northern Human Services,47489292,4051164,2021,,Conway,NH,P800,0
20301063,Keene Day Care Center Inc,1290334,134032,2021,,Keene,NH,,0
20301103,Historic Harrisville Inc,1134917,-72875,2021,,Harrisville,NH,A82Z,0
20301530,Mental Health Center For Southern New Hampshire Inc,25217761,2581496,2022,,Derry,NH,,0
20301883,Pine Haven Boys Center,4940463,1034955,2022,,Allenstown,NH,B28Z,0
20301883,Pine Haven Boys Center,4940463,1034955,2022,,Allenstown,NH,B28Z,0
20302252,Childrens Center Of The Upper Valley Inc,1190359,133928,2021,,Lebanon,NH,P33Z,0
20302477,Second Start,3964815,307731,2022,,Concord,NH,P200,0
20302477,Second Start,3964815,307731,2022,,Concord,NH,P200,0
20303557,Sheet Metal Workers Local 17 Nh Training Fund,234832,114678,2021,,Wallingford,CT,J22,0
20304203,Greater Seacoast Community Health,25228207,2905403,2021,,Somersworth,NH,E320,0
20304424,North Country Education Services Agency,2990345,465290,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020304424_202106_990_2022030219678562.pdf,Gorham,NH,,0
20304479,Interlakes Day Care Center Inc,287103,3359,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020304479_202109_990_2022082920303838.pdf,Meredith,NH,P33Z,0
20304479,Interlakes Day Care Center Inc,287103,3359,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020304479_202109_990_2022082920303838.pdf,Meredith,NH,P33Z,0
20305906,Jackson Ski Touring Foundation Inc,1462860,707725,2022,,Jackson,NH,N68P,0
20306381,Casque & Gauntlet Trust,37608,-10279,2022,,Hanover,NH,,0
20306381,Casque & Gauntlet Trust,37608,-10279,2022,,Hanover,NH,,0
20306538,Nutfield Heights Inc,1057119,131395,2022,,Derry,NH,,0
20308098,Beverage Distributors Of New Hampshire Llc,189100,14731,2021,,Brentwood,NH,,0
20309681,Magdalen College,4198746,351111,2022,,Warner,NH,B42,0
20310086,New Hampshire Home Builders Association,157009,-153500,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020310086_202106_990O_2022071820228150.pdf,Concord,NH,,0
20311473,Visiting Nurse Home Care & Hospice Of Carroll County,4013115,355508,2022,,North Conway,NH,P75Z,0
20311473,Visiting Nurse Home Care & Hospice Of Carroll County,4013115,355508,2022,,North Conway,NH,P75Z,0
20311890,Meals On Wheels Inc Wolfboro Area,301862,202430,2021,,Wolfeboro,NH,K36Z,0
20312473,Maps Counseling Services,1363787,88614,2021,,Keene,NH,,0
20312939,Lyme Nursery School Inc,337209,63865,2021,,Lyme,NH,,0
20312941,Linwood Medical Center,1021124,-41028,2021,,N Woodstock,NH,,0
20314400,The Homemakers Health Services,0,0,2020,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_05_2022_prefixes_01-27%2F020314400_202008_990_2022053120146240.pdf,Rochester,NH,,0
20314704,L S P Association,784688,-78349,2021,,Gilford,NH,,0
20314774,Last Rest Cemetary Association,157728,36456,2021,,Merrimack,NH,,0
20314781,New Hampshire Association Of School Principals,358030,32690,2021,,Concord,NH,,0
20314942,Orion House Inc,1236543,-102047,2022,,Newport,NH,P70Z,0
20315121,Southeastern Regional Education Service Center Inc,4198100,347309,2021,,Bedford,NH,B28Z,0
20315196,Monarch School Of New England,8079151,-216137,2022,,Rochester,NH,B28Z,0
20315693,Catholic Medical Center,548724237,94366512,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020315693_202109_990_2022082920304360.pdf,Manchester,NH,E220,0
20315706,Home Care Hospice & Palliative Care Alliance Of New Hampshire,440319,23078,2021,,Concord,NH,,0
20315820,New Concept Schools Inc,1190099,172860,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020315820_202108_990_2022080220263524.pdf,Nashua,NH,,0
20316192,Youth Council Inc,1160680,480863,2021,,Nashua,NH,F32Z,0
20316192,Youth Council Inc,1160680,480863,2021,,Nashua,NH,F32Z,0
20316629,New Hampshire Campground Owners Association,182145,-31255,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020316629_202108_990O_2022071820227544.pdf,Epsom,NH,,0
20317350,New Hampshire Humanities Council Inc,1384775,-308435,2022,,Concord,NH,,0
20317350,New Hampshire Humanities Council Inc,1384775,-308435,2022,,Concord,NH,,0
20318035,Northern Community Investment Corp,1565964,64998,2022,,St Johnsbury,VT,S310,0
20318035,Northern Community Investment Corp,1565964,64998,2022,,St Johnsbury,VT,S310,0
20318776,Walpole Village School,191629,21737,2021,,Walpole,NH,,0
20324070,New Hampshire Association Of Broadcasters Inc,249877,107119,2021,,Manchester,NH,,0
20324375,Concord Country Club Inc,2561219,58134,2021,,Concord,NH,N50,0
20324936,Housing For The Elderly And Handicapped Of Newport,569314,76155,2021,,Newport,NH,,0
20324979,Usa Hockey Inc,112891,-54365,2021,,Concord,NH,N80,0
20325181,New Hampshire Coalition For Handicapped Citizens Inc,1093747,70568,2021,,Concord,NH,,0
20325474,White Birch Community Center,1358480,52389,2022,,Henniker,NH,B200,0
20325518,Dover Teachers Union Nea,221523,3331,2022,,Dover,NH,,0
20325847,Salemhaven Inc,12544295,-770861,2021,,Salem,NH,E91Z,0
20326055,Amherst Land Trust,33161,20841,2021,,Amherst,NH,,0
20326855,Friends Program Inc,1422395,32845,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020326855_202109_990_2022030219682144.pdf,Concord,NH,,0
20327002,Rochester Child Care Center Inc,2798261,478882,2021,,Rochester,NH,P33Z,0
20327540,New Hampshire Nurse Practitioner Association,246645,19163,2022,,Bedford,NH,,0
20327595,New Hampshire Association Of Chiefs Of Police Inc,203589,19446,2021,,Derry,NH,,0
20328046,New Hampshire Optometric Association,185671,35005,2021,,Concord,NH,,0
20329382,Associated Builders And Contractors Inc,1170910,99405,2021,,Concord,NH,,0
20329395,Newport Senior Center,1077285,86860,2021,,Newport,NH,,0
20329407,Nashua Center,6528352,712029,2021,,Nashua,NH,P99,0
20329795,Lakes Region Community Services Council,30580604,340613,2022,,Laconia,NH,P820,0
20330235,Monadnock Waldorf School,1114334,-206392,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020330235_202106_990_2022071120202955.pdf,Keene,NH,B24Z,0
20330613,Granite State South Board Of Realtors Inc,262643,55192,2021,,Londonderry,NH,,0
20330853,Senior Citizens Housing Development Corporation Of Claremont,1063178,227987,2021,,Claremont,NH,L22,0
20331198,Rannie Webster Foundation,14667409,642737,2021,,Rye,NH,,0
20331551,New Hampshire Association For Justice,204417,-98958,2022,,Concord,NH,,0
20331748,Croydon Volunteer Fire Department Inc,243510,-7576,2021,,Croydon,NH,,0
20331766,Mountain Missionary Institute Inc,28184,-2537,2021,,Hudson,NH,O55Z,0
20331766,Mountain Missionary Institute Inc,28184,-2537,2021,,Hudson,NH,O55Z,0
20332012,Lake Winnipesaukee Association,276377,49615,2021,,Gilford,NH,,0
20332048,Wolfeboro Camp School Inc,1876319,-116809,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020332048_202109_990_2022082920303236.pdf,Wolfeboro,NH,B25Z,0
20332169,Pointer Fish & Game Club Inc,88795,54811,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020332169_202112_990O_2022083020309417.pdf,Manchester,NH,,0
20332297,New Hampshire Association Of Conservation Districts,277678,-27998,2021,,Concord,NH,C030,0
20333474,Abbot Downing Historical Society Inc,240700,221570,2021,,Concord,NH,,0
20333489,Growing Places,1434572,322508,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020333489_202108_990_2022030219682303.pdf,Lee,NH,P33Z,0
20333624,Peterborough Historical Soc,126058,-15723,2021,,Peterborough,NH,A82Z,0
20333762,New Hampshire Bar Foundation,945525,-111141,2021,,Concord,NH,I800,0
20333946,Pats Peak Educational Foundation,401220,85886,2022,,Henniker,NH,N68P,0
20333946,Pats Peak Educational Foundation,401220,85886,2022,,Henniker,NH,N68P,0
20333946,Pats Peak Educational Foundation,401220,85886,2022,,Henniker,NH,N68P,0
20334169,Womankind Counseling Center,945844,153844,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_03_2022_prefixes_01-13%2F020334169_202106_990_2022030919708039.pdf,Concord,NH,P83Z,0
20334307,New England Citizens For Right To Work Inc,0,0,2022,,Manchester,NH,,1
20335003,St Joseph Community Services Inc,4196443,-2142,2021,,Merrimack,NH,,0
20335083,Jackson Historical Society,176625,49353,2022,,Jackson,NH,,0
20335461,Nh Area Service Office Of The Nh Area Assembly Alcoholics,117115,26982,2021,,Hooksett,NH,G82L,0
20335994,The Alpha Omega Chapter Of Beta Theta Pi Fraternity,228246,80342,2022,,Hanover,NH,B83,0
20336315,New Hampshire Association Of Domestic Insurance Companies,184300,24350,2021,,Concord,NH,S41,0
20336778,New Hampshire Senior Golfers Associates,223917,5851,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F020336778_202109_990O_2022082220288574.pdf,Salisbury,NH,,0
20337153,Plus Co Inc,14335539,2113066,2022,,Nashua,NH,,0
20337620,Haven Violence Prevention And Support Services,2448004,484958,2021,,Portsmouth,NH,P430,0
20337698,White Mountain Ridge Runners Inc,266399,163694,2022,,Berlin,NH,,0
20337708,North Country Region Porsche Club,281604,54542,2021,,Leominster,MA,,0
20337751,Woodside School Inc,2250655,325122,2022,,Concord,NH,B21Z,0
20337909,Androscoggin Valley Chamber Of Commerce,104310,-6598,2021,,Berlin,NH,,0
20337929,Upper Valley Hostel Inc,232945,79009,2021,,Hanover,NH,E86Z,0
20337932,Franconia Childrens Center Inc,615798,158487,2021,,Franconia,NH,,0
20338273,Sunapee New Hampshire Historical Society Inc,75060,-21256,2021,,Sunapee,NH,,0
20338521,Cathedral Of The Pines Foundation,546974,147329,2022,,Rindge,NH,,0
20338667,New Hampshire Public Radio Inc,9663421,687389,2021,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_07_2022_prefixes_01-22%2F020338667_202106_990_2022071920233215.pdf,Concord,NH,A340,0
20338840,Lions Sight & Hearing Foundation Of N H,-32540,-235846,2022,,Concord,NH,,0
20339431,Keene Montessori School,466176,5015,2021,,Keene,NH,B21Z,0
20339922,Dover Adult Learning Center Inc,282378,-6642,2022,,Dover,NH,B61Z,0
20340326,Boston Shoe Travelers Assoc,328254,5535,2021,,E Longmeadow,MA,,0
20341052,Rural Housing For The Elderly,1063291,188011,2022,,Manchester,NH,L21Z,0
20341593,Riverside Housing Corporation,610482,131247,2021,,Concord,NH,L22Z,0
20341731,Pro Portsmouth Inc,182490,2243,2022,,Portsmouth,NH,,0
20342104,Disabilities Rights Center   New Hampshire Inc,1665779,-73164,2021,,Concord,NH,P80Z,0
20342196,Rockingham Nutrition & Meals On Wheels Program,3846338,9506,2022,,Brentwood,NH,K36Z,0
20342196,Rockingham Nutrition & Meals On Wheels Program,3846338,9506,2022,,Brentwood,NH,K36Z,0
20342221,Crisis Center Of Central New Hampshire,928604,46400,2022,,Concord,NH,,0
20342502,Lancaster Day Care Center Inc,335008,57693,2021,,Lancaster,NH,,0
