EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
382429175,LETTER FORM - NO FORMAL REQUIREMENTS,JEFF MCNALLY,NONE,NONE,no,N/A
760520888,WRITTEN REQUEST,SHANE BURDEN,NONE,NONE,no,N/A
814710242,SPECIFICS MAY BE OBTAINED AT THE ABOVE ADDRESS,MICHAEL WARNER,SPECIFICS MAY BE OBTAINED AT THE ABOVE ADDRESS,ORGANIZATIONS WORKING TO FOSTER LONG-TERM IMPROVEMENTS AND SOCIO-ECONOMIC OPPORTUNITIES AND QUALITY OF LIFE FOR LOW INCOME NORTH CAROLINIANS. MUST BE A 501(C)(3) ORGANIZATION.,no,N/A
346527281,"LETTER OF REQUEST - NO MORE THAN 2 PAGES, INCLUDING PURPOSE OF REQUEST. ALSO INCLUDE AN IRS DETERMINATION LETTER SHOWING COMPLETE ORGANIZATIONAL STATUS.",TIMOTHY F WULIGER,N/A,"ONLY 509(A)(1), 509(A)(2), 509(A)(3) OTHER THAN NON-FUNCTIONALLY INTEGRATED TYPE 3.",no,N/A
046028143,Written application substantiating credentials and need as approved by Nursing Schools.,Edward R Martn,Applications received throughout the year.,Limited to Graduate Nurses for furthering their nursing education and payment is made to schools toward tuition funds.,no,N/A
816070700,Application Available Upon Request,Charles Jarecki,None,Based on discression of the trustees,no,N/A
851220158,None,Karla Herder,None,"Applicants must reside in the State of Arizona and students enrolled in public, charter or private schools in grades K-12.",no,N/A
752727006,Common Grace Ministry Fund Grant/Gifts has no formal applications.CGXploration Scholarship Fund application forms are required by August 1 deadline.,Martin Hironaga,Grant/Gifts - no deadline; Scholarship appl deadline is 8/XX,"The Common Grace Ministry Fund Grant/Basic Needs Program requires that the individual/family has a financial hardship and/or emergency need that can be proven through a reliable referral. CGXploration Scholarship Fund requires that the individual be a student at Dallas Theological Seminary (or at an institution of higher education) with financial needs who agrees with the core principles of Common Grace Ministries, Inc., is able and willing to attend seminars, and desires to serve in East Dallas or another low income neighborhood in any capacity.",no,N/A
636020933,LETTER PROVIDING DETAILS REGARDING THE NATURE OF THE ORGANIZATION AND ITS NEEDS,SHANNON MCCLURE,NOVEMBER 15,NONE,no,N/A
232899896,NONE,ALAN B MILLER,NONE,NONE,no,N/A
822368197,APPLICATION SHOULD BE IN WRITTEN FORM.,SOCIETY OF FOOD ENGINEERING,N/A,N/A,no,N/A
581556976,LETTER STATING PURPOSE,BERNARD LAPIDES,NONE,NONE,no,N/A
205672504,THE APPLICATION MUST BE ON THE CHARITABLE ORGANIZATION'S STATIONERY WITH INFORMATION ABOUT THE ORGANIZATION AND HOW THE GIFT WILL BE USED.,DOLA HAMILTON STEMBERG,NONE,ALL CHARITABLE ORGANIZATIONS SERVING MASSACHUSETTS,no,N/A
391748548,NO STANDARD FORM OR APPLICATION PROCESS IS REQUIRED BY THE FOUNDATION.,PRIVATE PHILANTHROPY SERVICES,NONE,NONE,no,N/A
832923960,WWW.LIVELYCOMMUNITYFOUNDATION.ORG/EMOTIONAL-WELLBEING-BRIGADE,NISHI SINGHAL,CASE BY CASE BASIS,AWARDS ARE PAID DIRECTLY TO THE TRAINER ON BEHALF OF THE GRANTEE,no,N/A
542137988,AVAILABLE UPON REQUEST,JOSEPH GRANO SCHOLARSHIP FOUNDATION,NOT APPLICABLE,NOT APPLICABLE,no,N/A
883334029,ONLINE VIA FOUNDATION WEBSITE,VOA FOUNDATION INC,JUNE 30TH,BASED ON ON MERIT AND FINANCIAL NEED,no,N/A
556000847,VARIOUS,BOARD OF DIRECTORS STELLA FULLER S,N/A,NONE,no,N/A
026061834,"ONE HALF OF THE NET INCOME OF THIS TRUST IS PAID ANNUALLY TO THE VISITING NURSES ASSOC. OF ROCHESTER,NH. THE OTHER HALF IS USED TO PROVIDE SCHOLARSHIPS TO GRADUATES OF SPAULDING HS THRU THE SCHOLARSHIP",ROBERT A PEDERSON PRIN SPAULDING H,PREFERENCE IS GIVEN TO STUDENTS RECEIVING THEIR EDUCATION WITHIN THE COMMERCIAL DEPT OF THE SCHOOL,N/A,no,N/A
826507953,APPLICATION FORM PROVIDED BY THE SCHOLARSHIP FUND,THE ELEANOR TOOTLE SCHOLARSHIP,APRIL 1,"APPLICANTS MUST BE A GRADUATING SENIOR FROM PICKAWAY OR ROSS COUNTY, OHIO PLANNING TO PURSUE EDUCATION AFTER HIGH SCHOOL AT EITHER A JUNIOR COLLEGE, TWO YEAR COMMUNITY COLLEGE, FOUR YEAR PUBLIC OR PRIVATE UNIVERSITY, TECHNICAL COLLEGE/SCHOOL OR ACCREDITED PROPRIETARY SCHOOL.",no,N/A
046050051,NO SPECIAL REQUIREMENTS,ASHLEY SCHOOL AND CHARITABLE FUND,FISCAL YEAR,NONE,no,N/A
341862015,PAPER APPLICATIONS,NUNZIO POLICHENE SCHOLARSHIP FUND,JANUARY 31,"$1,000 LIMIT PER AWARD",no,N/A
464196884,NONE SPECIFIED,LYNN D BLEIL,NONE,NONE,no,N/A
391297197,STUDENTS SUBMIT A COMPLETED APPLICATION FOR A SCHOLARSHIP TO ASSIST WITH CONTINUED HIGHER EDUCATION EXPENSES BEYOND COLLEGE,APPLICANT SUBMITS TO TRUSTEE,0501XX,MONIES USED FOR CONTINUED HIGHER EDUCATION BEYOND HIGH SCHOOL,no,N/A
136086195,WRITTEN PROPOSAL AS TO NEED AND USE OF FUNDS,E MATILDA ZIEGLER FOUNDATION FOR TH,PRIOR TO JUNE 30,PROGRAMS FOR THE AMELIORATION OF THE BLIND,no,N/A
363739289,"Online application form that includes: contact info, parent employment info, resume, essay, ACT/SAT scored, high school transcript, college transcript",Int'l Scholarship Tuition Service,January 15,"Scholarship award winners must be a dependent son or daughter of US based Beam Suntory Inc., Jim Beam Brands Co., or a participating distributor. Scholarship award winners cannot also be recipients of a Southern Glazers Wine & Spirits scholarship award.",no,N/A
851413869,APPLICATIONS ARE SUBMITTED BY INDIVIDUALS THAT HAVE BEEN DISPLACED DUE TO WAR AND/OR OTHER MILITARY ACTIONS. THE APPLICATION MAY BE SUBMITTED MANUALLY OR ELECTRONICALLY.,LEONID STEPANCHENKO,NA,INDIVIDUALS MUST PROVE NEEDS AND SHOW IMPACTS TO HOME AND FAMILY,no,N/A
222777796,"LETTER DETAILING THE USE OF THE REQUESTED FUNDS, IRS EXEMPTION",NANCY J BERKMAN BERNARD G BERKMAN A,NONE,NONE,no,N/A
760201807,See Statement 11,Kelly Gene Cook Sr Char Foundation,See Statement 11,See Statement 11,no,N/A
566290640,"NO FORMAL APPLICATION REQUIRED; HOWEVER, ALL REQUESTS MUST BE SUBMITTED IN WRITING",BANK OF AMERICA N A,N/A,"SCHOLARSHIPS AWARDS ARE LIMITED TO STUDENTS WISHING TO ATTEND ANY OF THESE THREE DESIGNATED COLLEGES: KING COLLEGE IN BRISTOL, TN; LEES -MCCRAE COLLEGE IN BANNER ELK, NC; MONTREAT COLLEGE IN MONTREAT, NC.",no,N/A
341475809,no specific form,DON P BROWN,none,NONE,no,N/A
421186325,Nonprofit status under IRC 501c3 Indicate if private foundation,DALE SWEERE DIRECTOR,No deadlines,none,no,N/A
472652314,"* CONTACT INFORMATION FOR YOUR ORGANIZATION * DESCRIPTION OF YOUR MISSION * LIST OF HISTORICAL ACHIEVEMENTS * PROGRAM FOCUS AND POPULATION SERVED * LIST OF ALL BOARD MEMBERS OF THE ORGANIZATION * COPIES OF YOUR MOST RECENT ANNUAL REPORT AND AUDITED FINANCIAL STATEMENTS * DESCRIPTION OF THE PROJECT FOR WHICH FUNDING IS REQUESTED * DELINEATE YOUR ORGANIZATION'S RESPONSIBILITY FOR THE PROJECT, AND CLARIFY THAT NO RESPONSIBILITY FOR THE PROJECT IS TO BE BORNE BY THE FOUNDATION * ESTIMATED BUDGET FOR THE PROJECT AND AMOUNT OF ASSISTANCE REQUESTED * METHODS YOUR ORGANIZATION HAS ESTABLISHED TO EVALUATE THE SUCCESS OF THE INTENDED PROJECT * METHODS YOUR ORGANIZATION HAS ESTABLISHED TO ENSURE THE GRANT FUNDS ARE USED FOR THIS PROJECT * ENSURE PROPOSAL REQUIRES YOUR ORGANIZATION TO SUBMIT SEMI-ANNUAL WRITTEN ACCOUNTS TO THE FOUNDATION AS WELL AS A FINAL WRITTEN REPORT * THREE-YEAR HISTORICAL BUDGET FOR YOUR ORGANIZATION OUTLINING THEREIN THE FUNDING SOURCES",DIRECTORS OF THE THOMAS A AND DOREE,NO LATER THAN MARCH 1 OF ANY CALENDAR YEAR,NONE,no,N/A
463905409,AVAILABLE UPON REQUEST,DIANNE ODER TRUST OFFICER,MARCH 31,LIMITED TO HIGH SCHOOL GRADUATES OF CHILLICOTHE R-II AND SOUTHWEST LIVINGSTON R-I SCHOOL DISTRICTS.,no,N/A
581030351,WRITE FOR BROCHURE GIVING DETAILS,EDWARD L WHITE JR,NONE,"CHRISTIAN MISSION OF SHARING THE GOSPEL OF JESUS CHRIST WITHIN NEW ENGLAND AND THE ATLANTA, GA. REGIONS.",no,N/A
900420683,N/A,JAMES R BROWN,,,no,N/A
136877098,A LETTER OUTLINING THE PURPOSE OF THE DONATION BEING REQUESTED.,JANE R HORVITZ OR CYNTHIA R BOARDMA,NONE,NONE,no,N/A
831885441,Individuals are interviewed and must provide a written explanation of why a grant is requested and what the grant will be used for.,Gini Williams,Submission deadline is 30 days prior to date of grant need.,"Grants during 2022 were paid directly, on behalf of the families listed on page 11 part XIV, to Capistrano Valley Christian School 32032 Del Obispo Street San Juan Capistrano, CA 92675 or directly to OCVolleyhigh..",no,N/A
823179379,INITIAL LETTER AND BACK-UP FOR REQUEST,KELYE B AND CYNTHIA R STITES,NONE AT THIS TIME,REQUESTS FROM CHARITABLE ORGANIZATIONS ARE BY INVITATION ONLY.,no,N/A
311671606,Applicants do not submit any special application for this award. They only submit the Girls State application. The American Legion selects a district each year to award these scholarship opportunities to applicants from that district.,AMERICAN LEGION AUXILIARY,MARCH 1ST,N/A,no,N/A
540846282,N/A,WILLIAM N PENDLETON,,,no,N/A
383855662,Letter explaining the purpose of requested funds,Thaddeus Kuzniarek,none,none,no,N/A
311595996,NO PRESET FORM,HARRY S KANTER,N/A,N/A,no,N/A
823479953,MAIL OR EMAIL REQUEST WITH SUPPORTING DOCUMENTATION,PETER TSUDIS,N/A,ALL REQUESTS CONSIDERED,no,N/A
834380725,MUST BE A MEMBER AND HAVE PASSED AWAY,TEKESTE ABRAHAM,END OF CALENDAR YEAR,MUST BE MEMBER,no,N/A
540542500,HOME'S SCHOLARSHIP AND GRANT APPLICATIONS,JAMIE S MORINI,APRIL AND SEPTEMBER,LIMITED TO RESIDENTS OF SOUTHSIDE VIRGINIA,no,N/A
853304274,"APPLICATIONS SHOULD BE IN LETTER FORMAT IDENTIFYING THE ORGANIZATION REQUESTING THE GRANT. THE LETTER SHOULD INCLUDE THE AMOUNT OF THE GRANT REQUESTED, THE PURPOSE FOR WHICH THE FUNDS WILL BE USED. IF THE GRANT IS INTENDED FOR A PURPOSE OTHER THAN THE GENERAL OPERATING EXPENSES OF THE ORGANIZATION, THE FOUNDATION WILL REQUEST THAT THE GRANTEE PROVIDE REPORTS SHOWING HOW THE FUNDS WERE USED.",THE TRUST COMPANY OF OKLAHOMA,NO SPECIFIC DEADLINE,NO SPECIFIC LIMITATIONS OR RESTRICTIONS,no,N/A
300214725,LETTER,JOHN R BRYAN,NONE,CHARITABLE TAX EXEMPT ORGANIZATIONS ONLY,no,N/A
133116094,"PURPOSE OF GRANT, AMOUNT OF FUNDING REQUESTED, ANNUAL REPORT IRS DETERMINATION LETTER, AND OTHER SUPPORTERS.",SPUNK FUND INC THE PRESIDENT,LETTERS OF INQUIRY ACCEPTED YEAR-ROUND.THE DEADLINE FOR SUBMITTING THE ACTUAL PROPOSAL IS APRIL 1.,SPUNK FUND INC. SUPPORTS INITIATIVES CONTRIBUTING TO THE ENRICHMENT AND WELL BEING OF CHILDREN.,no,N/A
825327586,EMAIL OR WRITTEN REQUEST,DEBI DELSAPIO,N/A,N/A,no,N/A
216014854,Standard application form,Isidor Schmeidler Fund co Steven Ho,July,"1) Residency in the Atlantic City, NJ vicinity 2) Satisfactory past academic performance 3) Participation in extracurricular activities 4) Financial need",no,N/A
237300230,"SHORT LETTER GIVING DETAIL OF PROJECT. NO PHONE CALLS, PLEASE!",DEVESH PODDAR,APRIL 30 AND AUGUST 31,AS PER SECTION 509(A) (1) (2) OR (3) OR MEET 53.4942(A)-3(A) (B),no,N/A
852296852,"AT THIS TIME, THE FOUNDATION DOES NOT REQUIRE PROSPECTIVE GRANTEES TO SUBMIT GRANT PROPOSALS OR APPLICATIONS, THOUGH THE FOUNDATION MAY DO SO IN THE FUTURE. GRANTEES ARE SELECTED BY THE FOUNDATION'S BOARD OF DIRECTORS. THE FOUNDATION WILL KEEP THOROUGH RECORDS OF THE GRANTS IT AWARDS. SUCH RECORDS WILL INCLUDE THE NAMES AND ADDRESSES OF GRANTEES, THE AMOUNTS DISTRIBUTED, THE PURPOSE FOR WHICH THE GRANTS WERE GIVEN, AND THE MANNER IN WHICH THE FOUNDATION'S BOARD OF DIRECTORS SELECTED THE GRANTEES.",FRIED FAMILY FOUNDATION,N/A,"THE FOUNDATION MAY ALSO CONDUCT PERIODIC SITE VISITS OR OTHER FORMS OF GRANTEE OVERSIGHT IN ORDER TO ENSURE THAT ALL GRANT FUNDS ARE USED FOR THEIR AGREED-UPON CHARITABLE PURPOSES. IF, AT ANY TIME, THE FOUNDATION DISCOVERS THAT ANY GRANT HAS BEEN USED FOR PURPOSES OTHER THAN CHARITABLE PURPOSES, THE FOUNDATION MAY EITHER: (I) REVOKE THE GRANT IMMEDIATELY; OR (II) PRIOR TO REVOKING THE GRANT, OFFER THE GRANTEE A REASONABLE CURE PERIOD TO REDIRECT ALL GRANT FUNDS FOR AGREED-UPON CHARITABLE PURPOSES.",no,N/A
462137938,LETTER WITH REQUEST,THOMAS SACCARO,NONE,NONE,no,N/A
471975832,ANY,DEE ANN SCHOFIELD,NONE,ALL AWARDS ARE TO BE APPROVED BY THE BOARD OF DIRECTORS.,no,N/A
476042232,"STATUS OF DONEE, PRIOR TAX RETURN, EXEMPT STATUS PROOF, PURPOSE",TOM W TYE II,N/A,N/A,no,N/A
746050406,"LETTER TO BOARD OUTLINING FUNDS NEEDED AND REASON FOR NEED. MUST BE FROM MASONS IN THE SAN ANTONIO, TX AREA.",ROBERT JETT,NONE,NONE,no,N/A
311172421,WRITTEN,DANIEL SKILKEN,NONE,"CHARITABLE, RELIGIOUS, EDUCATIONAL AND SCIENTIFIC PURPOSES.",no,N/A
481055534,"WRITTEN ESSAY DETAILING SCHOOL & CIVIC ACTIVITIES FINANCIAL SITUATION, LEADERSHIP QUALITIES, CITIZENSHIP AND ATTITUDE.",COUNSELOR HUMBOLDT HIGH SCHOOL,"ESTABLISHED BY COUNSELOR AND PRINCIPAL, BUT PRIOR TO GRADUATION.",_ ONLY MEMBERS OF HUMBOLDT HIGH SCHOOL GRADUATING SENIOR CLASS WITH GPA IN TOP 10% OF CLASS ARE ELIGIBLE FOR CONSIDERATION.,no,N/A
311645287,ALL APPLICATIONS MUST BE IN WRITING,ELIZABETH H LAMACCHIA TRUSTEE,NONE,NONE,no,N/A
311192929,ALL GRANT REQUESTS MUST BE SUBMITTED THROUGH THE VERSAIC GRANTS MANAGEMENT PLATFORM LOCATED AT THEKROGERCO.VERSAIC.COM/LOGIN. GRANT REQUESTS INCLUDE INFORMATION RELATED TO THE ORGANIZATION AND IT'S CHARITABLE PURPOSE AND DETAILS RELATED TO THE REQUEST.,KEITH DAILEY,"GRANTS ARE PROCESSED QUARTERLY WITH APPLICATION DEADLINES IN JANUARY, APRIL, JULY, AND OCTOBER.",GRANTS ARE ONLY APPROVED TO 501(C)(3) ORGANIZATIONS,no,N/A
475577111,FORM PROVIDED ON WEBSITE,INFOLUNDFOUNDATIONORG,"MAY 20, OF EACH YEAR",CRITERIA AVAILABLE ON APPLICATION,no,N/A
133617553,N/A,BERT N MITCHELL FAMILY FOUNDATION,N/A,NONE,no,N/A
237898544,"CORRESPONDENCE STATING NAME, PURPOSE, ETC.--PLEASE NO PHONE CALLS",VALERIE A HYMAN,NONE,NONE,no,N/A
946079248,LETTER TO FOUNDATION,HOWARD N GILMORE,NONE,NONE,no,N/A
462596870,"NAME, ADDRESS, PHONE NUMBER, EMAIL ADDRESS, WISH REQUEST",SENIORS ONE WISH,N/A N/A,N/A,no,N/A
208038344,"THE FOUNDATION DOES NOT REQUIRE THAT PROSPECTIVE GRANT RECIPIENTS USE A PARTICULAR FORM, BUT ANY GRANT PROPOSAL SUBMITTED BY A PROSPECTIVE GRANT RECIPIENT WILL OBLIGATE THE RECIPIENT TO USE ANY GRANT FUNDS ONLY FOR THE CHARITABLE PURPOSES FOR WHICH THE GRANT WAS MADE, REQUIRE THE RECIPIENT TO DESCRIBE THE PURPOSES FOR WHICH THE GRANT WAS USED, AND OBLIGATE THE RECIPIENT TO REPAY THE FOUNDATION IN THE EVENT THAT THE GRANT IS MISUSED.",MICHAEL KELLY,N/A,"THE FOUNDATION PRIMARILY MAKES GRANTS TO ORGANIZATIONS THAT SERVE MEMBERS OF THE DANIELS, WEST VIRGINIA COMMUNITY AND SURROUNDING AREAS.",no,N/A
942960280,"REQUESTS FOR FUNDS FROM THE HACIENDA CHILD DEVELOPMENT FUND SHOULD BE TYPEWRITTEN. A REQUEST SHOULD INCLUDE THE FOLLOWING: - INFORMATION ON THE ACTIVITIES AND PURPOSE(S) OF THE REQUESTING ORGANIZATION INCLUDING HOW THE ORGANIZATION PROMOTES THE EDUCATION AND WELFARE OF CHILDREN IN CONTRA COSTA AND ALAMEDA COUNTIES. ORGANIZATIONS SHOULD EMPHASIZE THEIR ACTIVITIES WHICH BENEFIT THE TRI-VALLEY AREA. - EXPLANATION OF SPECIFIC USES OF FUNDS REQUESTED. - COPY OF PRIOR YEAR FEDERAL TAX-EXEMPT TAX RETURN, IF APPLICABLE. - TYPE AND PROOF OF TAX-EXEMPT STATUS INCLUDING COPY OF IRS DETERMINATION LETTER, IF APPLICABLE.",PAT O'BRIEN DIRECTOR HACIENDA CHILD,NONE SEE STATEMENT 6,"RESTRICTED TO ORGANIZATIONS IN CONTRA COSTA AND ALAMEDA COUNTIES THAT PROMOTE THE EDUCATION AND WELFARE OF CHILDREN, WITH EMPHASIS ON THE TRI-VALLEY AREA.",no,N/A
550764535,N/A,FRANK A JACKSON ATTORNEY AT LAW,N/A,N/A,no,N/A
582004367,"APPLICATION FORMAT AND REQUIRED CONTENTS DETERMINED BY BOARD MEMBERS AND IS ON FILE WITH MIKE HATCHER, PRESIDENT.",MIKE HATCHER,"SUBMISSION DEADLINES ARE DETERMINED BY THE BOARD AND ON FILE WITH MIKE HATCHER, PRESIDENT","RESTRICTIONS OR LIMITATIONS ON AWARDS ARE DETERMINED BY THE BOARD AND ON FILE WITH MIKE HATCHER, PRESIDENT",no,N/A
526038149,letter,JOHN LYNHAM CO FOLEY LARDNER LLP,six weeks prior to semi-annual grant decision making meeting,none,no,N/A
264609846,STUDENTS ARE MADE AWARE OF THE SCHOLARSHIP DIRECTLY FROM THEIR HIGH SCHOOL GUIDANCE COUNSELORS. OUR CO-FOUNDERS HAVE DIRECT CONVERSATIONS WITH THE GUIDANCE COUNSELORS EVERY SPRING TO DISCUSS CONCORD EDUCATION FOUNDATION AS WELL AS THE CRITERIA THAT SHOULD BE MET BY EACH STUDENT APPLICANT. THE GUIDANCE COUNSELORS THEN DISTRIBUTE THE INFORMATION AND APPLICATIONS DIRECTLY TO STUDENTS MEETING THE CRITERIA.,PETER HAUGEN,NONE,"SCHOLARSHIPS OF UP TO $2,000 PER SEMESTER AND $4,000 PER ACADEMIC YEAR ARE GRANTED TO STUDENTS IN THE MINNEAPOLIS AND SAINT PAUL, MINNESOTA AREA ON THE BASIS OF ACADEMIC PERFORMANCE, INVOLVEMENT IN EXTRACURRICULAR ACTIVITIES, AND FINANCIAL NEED.",no,N/A
943347336,N/A,Noelle Ojeda,,The Fitzpatrick Foundation regrets to announce that it can no longer accept letters of inquiry or new grant proposal requests. The Foundation will continue to fulfill all current grant commitments. We wish you the best in this difficult time.,no,N/A
043448574,AS THE APPLICANT SEES FIT.,MICHAEL CROSS,"GENERALLY, JUNE 1 OF EACH YEAR","SCHOLARSHIPS LIMITED TO AIR FORCE JROTC AND ROTC CADETS IN THE CONNECTICUT VALLEY AND ANSONIA, H.S., ANSONIA, CT",no,N/A
363054939,Letter,Edward F Rodenbach,None,None,no,N/A
341973107,NONE,Donald Miller Trustee,NONE,NONE,no,N/A
850720167,N/A,JOHN LUEKEN,,"THE FOUNDATION EXCLUSIVELY SUPPORTS CHARITABLE, RELIGIOUS, EDUCATIONAL AND SCIENTIFIC PURPOSES WITHIN THE MEANING OF SEC 501(C)(3) OF THE INTERNAL REVENUE CODE.",no,N/A
046002496,APPLICATIONS MADE THROUGH FUND'S WEBSITE; WWW.EDWARDSFUND.ORG,EDWARDS SCHOLARSHIP FUND,MARCH 1ST FOR FOLLOWING YEAR,STUDENTS' FAMILY HAS TO RESIDE IN BOSTON SINCE BEGINNING OF STUDENTS' JUNIOR YEAR IN HIGH SCHOOL,no,N/A
521312486,WRITTEN APPLICATION AND FINANCIAL STATEMENT,VICTOR HABIB,NONE,NONE,no,N/A
883397709,N/A,TAMMY MARQUART,,,no,N/A
943122667,ROBYN WILL SEND AN APPLICATION UPON REQUEST,ROBYN BREWER,BOARD MEETS QUARTERLY - NO DEADLINES,MUST BE A 501(C)(3) ORGANIZATION,no,N/A
131825945,APPLICATION BLANKS AVAILABLE AT ALL RYE PUBLIC AND PAROCHIAL SCHOOLS.,TONI ARCHIBALD,APRIL 15,"RYE RESIDENTS MAJORING IN MEDICAL, NURSING OR RELATED FIELDS.",no,N/A
367293191,INCLUDE WRITTEN EVIDENCE OF CHARITABLE STATUS WITH REQUEST,LEE POUNDERS BMO FAMILY OFFICE,NONE NONE,NONE,no,N/A
275427246,N/A,THE AHNS FOUNDATION INC,,,no,N/A
201945666,"APPLICATION SHOULD STATE NAME OF INDIVIDUAL OR ORGANIZATION, AMOUNT OF REQUEST, AND USE OF PROCEEDS.",ANY OFFICER OR DIRECTOR,APPLICATIONS WILL BE ACCEPTED THROUGHOUT THE YEAR WITH A DEADLINE OF NOVEMBER 1ST FOR FUNDING REQUES,AWARDS WILL BE LIMITED TO AVAILABLE CASH AND LIQUID INVESTMENTS,no,N/A
271170703,CANINO FAMILY CHARITABLE FOUNDATION GRANT APPLICATION AND ALL REQUIRED ATTACHMENTS.,CAROL CANINO,NONE,NONE,no,N/A
136112704,THE FOUNDATION HAS IMPLEMENTED AN ONLINE GRANT APPLICATION SYSTEM THAT CAN BE ACCESSED VIA THE WEBSITE AT WWW.JOHNBENSNOW.ORG.,JONATHAN L SNOW,"LETTER OF INQUIRY BY FEBRUARY 1ST, GRANT APPLICATION BY APRIL 1ST, FOUNDATION DECISION BY JULY 1ST","THE FOCUS HAS PRIMARILY BEEN SERVING CENTRAL NEW YORK (DEFINED AS ONONDAGA COUNTY AND ITS FOUR SURROUNDING COUNTIES OF CAYUGA, CORTLAND, MADISON AND OSWEGO) ACROSS A RANGE OF PROGRAM AREAS. THE FOUNDATION WILL NOT ACCEPT PROPOSALS FROM INDIVIDUALS OR FROM FOR PROFIT ORGANIZATIONS. ADDITIONALLY, THE FOUNDATION DOES NOT ENCOURAGE PROPOSALS FROM RELIGIOUS ORGANIZATIONS OR PROPOSALS FOR ENDOWMENTS, CONTINGENCY FUNDING, OR DEBT REDUCTION. THERE ARE NO MINIMUM OR MAXIMUM GRANT AMOUNTS; HOWEVER MOST GRANTS RANGE FROM $10,000 TO $20,000. FIRST-TIME GRANTS TO ORGANIZATIONS TYPICALLY RANGE FROM $5,000 TO $10,000.",no,N/A
396498404,WRITTEN FORM,JOHNSON CREEK HIGH SCHOOL,MARCH 30TH DEADLINE FOR FALL SEMESTER,MUST BE A JOHNSON CREEK HIGH SCHOOL GRADUATE,no,N/A
591750571,"IN 2022, APPLICANTS WERE REQUIRED TO COMPLETE AN ONLINE APPLICATION AND SUBMIT BY EMAIL THE FOLLOWING MATERIALS: A COVER LETTER OUTLINING THE REQUEST FOR SUPPORT, SIGNED BY THE ORGANIZATION'S LEADERSHIP, THE OPERATING BUDGET FOR THE CURRENT FISCAL YEAR, INCLUDING SOURCES OF SUPPORT, A LIST OF DIRECTORS OR TRUSTEES AND THEIR AFFILIATIONS, A BRIEF BIOGRAPHY OF THE EXECUTIVE DIRECTOR, A COPY OF THE IRS 501(C)(3) DETERMINATION LETTER. BEGINNING IN 2023, THE FOUNDATION NO LONGER ACCEPTS UNSOLICITED GRANT REQUESTS.",ELIZABETH PRETTY,OCTOBER 1ST OF EACH YEAR,"ORGANIZATIONS THAT APPLY FOR FUNDING FROM THE PORTER FOUNDATION MUST BE CLASSIFIED AS PUBLIC CHARITIES AND TAX EXEMPT UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1986. THE PORTER FOUNDATION WILL PRIORITIZE SUPPORT FOR EFFORTS THAT PROVIDE K-12 EDUCATION, SOCIAL SERVICES AND MEDICAL AND PALLIATIVE CARE. PROGRAMS OR PROJECTS OF PARTICULAR INTEREST ARE THOSE FOCUSED ON IMPROVING THE QUALITY OF EDUCATION, MEETING BASIC HUMANITARIAN NEEDS, AND ENSURING COMPASSIONATE CARE FOR THE ELDERLY. THE FOUNDATION FOCUSES ITS GIVING IN CLEVELAND AND MECKLENBURG COUNTIES IN NORTH CAROLINA, CENTRAL KENTUCKY, BALTIMORE AND CENTRAL MARYLAND, AND CENTRAL VIRGINIA.",no,N/A
475611195,Letter to Foundation.,LAURA LANDAU,N/A,N/A,no,N/A
387127439,N/A,MICHAEL F LACKLAND,,,no,N/A
911796288,N/A,TRACY CAMPBELL PARKS,,,no,N/A
226374448,NO SPECIFIC APPLICATION FORM IS NECESSARY. COMPLETE INFORMATION ON THE CHARITABLE PURPOSE OF THE REQUEST IS REQUIRED.,ROGER KLEIN,NONE,"NO RESTRICTIONS, EXCEPT IT MUST BE A TAX EXEMPT CHARITABLE ORGANIZATION.",no,N/A
626160483,WRITTEN,BRUCE BRYANT,NONE,GREENEVILLE/GREENE COUNTY TENNESSEE CHARITABLE ORGANIZATIONS ONLY,no,N/A
330640939,THE FOUNDATION DISSEMINATES APPLICATION FORMS TO SAN DIEGO AREA HIGH SCHOOLS AND COLLEGES FOR USE IN MAKING APLICATIONS FOR GRANTS (SEE ATTACHED APPLICATION FORM).,THE CURLEY FOUNDATION,NONE,"NO MORE THAN ONE-THIRD OF THE TOTAL GRANTS MADE MAY BE AWARDED TO PERSONS WHO RECEIVE THEIR PRIMARY AND SECONDARY EDUCATION OUTSIDE OF SAN DIEGO COUNTY, CALIFORNIA. NO OTHER RESTRICTIONS OR LIMITATIONS APPLY.",no,N/A
341845109,N/A,MATT WEISENBURGER,,,no,N/A
036004738,"Scholarship recipients are chosen by the Hinsdale, NH, High School",John Barth Principal,N/A,Restricted to graduating students of Hinsdale High School,no,N/A
566075607,Letter,L JACK BLYTHE,None,None,no,N/A
266161910,"THE APPLICATION SHOULD BE IN A LETTER FORM AND SHOULD INCLUDE EVIDENCE OF 501(C)(3) STATUS AND SHOULD STATE AMOUNT REQUESTED, NATURE OF THE REQUEST AND EVIDENCE OF HOW THE FUNDS WILL BE USED IN THE BARTLESVILLE, OKLAHOMA AREA.",HARVEY LITTLE,NONE,SUBJECT TO BOARD DISCRETION,no,N/A
